time,open,high,low,close,tick_volume,spread,real_volume
2025-03-10 20:45:00+00:00,2888.401,2889.228,2887.656,2889.11,711,112,0
2025-03-10 22:00:00+00:00,2888.436,2890.201,2887.105,2887.649,1023,112,0
2025-03-10 22:15:00+00:00,2887.652,2888.031,2885.022,2885.092,1009,112,0
2025-03-10 22:30:00+00:00,2885.102,2886.034,2884.045,2885.979,1039,112,0
2025-03-10 22:45:00+00:00,2886.054,2886.099,2884.107,2884.744,851,112,0
2025-03-10 23:00:00+00:00,2884.755,2885.882,2884.387,2884.949,974,112,0
2025-03-10 23:15:00+00:00,2885.022,2885.415,2884.175,2884.37,807,112,0
2025-03-10 23:30:00+00:00,2884.404,2884.435,2882.829,2883.336,1135,112,0
2025-03-10 23:45:00+00:00,2883.336,2884.984,2882.356,2884.709,1275,112,0
2025-03-11 00:00:00+00:00,2884.748,2887.359,2884.159,2887.054,1736,111,0
2025-03-11 00:15:00+00:00,2887.074,2888.64,2885.274,2887.238,2416,112,0
2025-03-11 00:30:00+00:00,2887.28,2888.148,2885.289,2885.794,2231,112,0
2025-03-11 00:45:00+00:00,2885.776,2888.191,2884.744,2887.253,1490,111,0
2025-03-11 01:00:00+00:00,2887.321,2888.654,2880.117,2885.584,4941,111,0
2025-03-11 01:15:00+00:00,2885.679,2890.187,2885.529,2889.493,3216,111,0
2025-03-11 01:30:00+00:00,2889.464,2890.555,2887.139,2890.177,3000,111,0
2025-03-11 01:45:00+00:00,2890.178,2891.003,2889.398,2890.636,1991,111,0
2025-03-11 02:00:00+00:00,2890.593,2894.045,2889.935,2894.025,2790,111,0
2025-03-11 02:15:00+00:00,2894.053,2899.222,2893.186,2897.867,2357,111,0
2025-03-11 02:30:00+00:00,2897.831,2898.826,2896.295,2897.572,2510,112,0
2025-03-11 02:45:00+00:00,2897.612,2900.51,2896.137,2899.029,2642,112,0
2025-03-11 03:00:00+00:00,2899.067,2899.413,2897.66,2898.345,1857,111,0
2025-03-11 03:15:00+00:00,2898.315,2898.793,2895.284,2895.909,1795,112,0
2025-03-11 03:30:00+00:00,2895.822,2897.067,2895.208,2896.98,1355,112,0
2025-03-11 03:45:00+00:00,2897.016,2897.391,2895.855,2896.934,1234,111,0
2025-03-11 04:00:00+00:00,2896.934,2897.56,2895.521,2897.44,1493,112,0
2025-03-11 04:15:00+00:00,2897.482,2897.772,2896.173,2897.52,1208,112,0
2025-03-11 04:30:00+00:00,2897.499,2898.238,2897.166,2898.035,1374,111,0
2025-03-11 04:45:00+00:00,2898.05,2898.702,2896.971,2897.711,945,112,0
2025-03-11 05:00:00+00:00,2897.723,2898.872,2896.888,2897.802,1546,112,0
2025-03-11 05:15:00+00:00,2897.777,2898.688,2897.52,2897.559,1364,111,0
2025-03-11 05:30:00+00:00,2897.58,2899.1,2895.769,2895.878,2218,111,0
2025-03-11 05:45:00+00:00,2895.944,2896.237,2892.776,2895.811,1908,112,0
2025-03-11 06:00:00+00:00,2895.836,2897.132,2894.629,2895.319,1594,112,0
2025-03-11 06:15:00+00:00,2895.3,2897.949,2893.51,2897.929,2599,112,0
2025-03-11 06:30:00+00:00,2897.974,2902.06,2897.336,2900.109,2696,112,0
2025-03-11 06:45:00+00:00,2900.149,2902.851,2899.811,2902.326,2158,111,0
2025-03-11 07:00:00+00:00,2902.29,2903.587,2899.847,2899.923,1934,112,0
2025-03-11 07:15:00+00:00,2899.895,2901.032,2897.904,2900.182,2079,111,0
2025-03-11 07:30:00+00:00,2900.198,2901.207,2897.564,2899.683,2274,112,0
2025-03-11 07:45:00+00:00,2899.77,2902.0,2899.131,2901.033,2854,112,0
2025-03-11 08:00:00+00:00,2901.076,2904.266,2900.44,2904.156,2656,112,0
2025-03-11 08:15:00+00:00,2904.166,2907.48,2903.887,2907.374,1646,112,0
2025-03-11 08:30:00+00:00,2907.293,2909.283,2906.42,2909.201,1675,112,0
2025-03-11 08:45:00+00:00,2909.159,2910.348,2907.378,2909.927,1741,112,0
2025-03-11 09:00:00+00:00,2909.937,2911.673,2908.962,2910.149,1772,111,0
