time,open,high,low,close,tick_volume,spread,real_volume
2025-03-14 10:00:00+00:00,82795.1,83316.19,82682.71,83070.45,22946.0,1621,0.0
2025-03-14 11:00:00+00:00,83071.8,83389.97,82986.47,83266.81,22994.0,1621,0.0
2025-03-14 12:00:00+00:00,83266.25,83550.21,83063.54,83441.98,23221.0,1621,0.0
2025-03-14 13:00:00+00:00,83441.45,83914.71,83049.74,83614.38,23740.0,1621,0.0
2025-03-14 14:00:00+00:00,83614.72,83617.68,82645.52,83546.66,27543.0,1621,0.0
2025-03-14 15:00:00+00:00,83553.83,85349.62,83548.9,84770.13,26998.0,1621,0.0
2025-03-14 16:00:00+00:00,84771.08,84989.84,83962.61,84792.22,25331.0,1621,0.0
2025-03-14 17:00:00+00:00,84792.54,84867.33,84202.89,84371.62,23512.0,1621,0.0
2025-03-14 18:00:00+00:00,84371.85,84747.61,84205.64,84589.91,21589.0,1621,0.0
2025-03-14 19:00:00+00:00,84589.7,84968.15,84448.19,84576.54,21362.0,1621,0.0
2025-03-14 20:00:00+00:00,84576.54,84576.54,83722.02,84142.66,22601.0,1621,0.0
2025-03-14 21:00:00+00:00,84141.01,84317.62,83952.18,84210.48,21731.0,1621,0.0
2025-03-14 22:00:00+00:00,84210.65,84540.0,84103.23,84455.41,22150.0,1621,0.0
2025-03-14 23:00:00+00:00,84455.69,84465.55,83950.45,83994.88,20535.0,1621,0.0
2025-03-15 00:00:00+00:00,83994.87,84371.68,83961.96,84304.36,21363.0,1621,0.0
2025-03-15 01:00:00+00:00,84304.57,84603.72,84112.9,84361.72,21127.0,1621,0.0
2025-03-15 02:00:00+00:00,84361.58,84650.58,84166.81,84563.53,20444.0,1621,0.0
2025-03-15 03:00:00+00:00,84563.14,84701.54,84421.46,84508.44,21479.0,1621,0.0
2025-03-15 04:00:00+00:00,84508.64,84574.99,84300.87,84472.56,20863.0,1621,0.0
2025-03-15 05:00:00+00:00,84471.23,84508.17,84257.53,84269.82,21160.0,1621,0.0
2025-03-15 06:00:00+00:00,84268.0,84306.68,84153.71,84177.3,23162.0,1610,0.0
2025-03-15 07:00:00+00:00,84178.24,84200.52,83791.59,83842.68,20680.0,1610,0.0
2025-03-15 08:00:00+00:00,83842.89,84020.03,83619.54,83897.12,21900.0,1610,0.0
2025-03-15 09:00:00+00:00,83896.87,83961.75,83697.64,83949.51,20852.0,1610,0.0
2025-03-15 10:00:00+00:00,83949.13,83990.9,83637.28,83895.89,22255.0,1610,0.0
2025-03-15 11:00:00+00:00,83894.94,84189.76,83818.0,84096.72,21783.0,1610,0.0
2025-03-15 12:00:00+00:00,84094.91,84293.91,84005.5,84144.26,22265.0,1610,0.0
2025-03-15 13:00:00+00:00,84145.6,84505.81,84135.71,84472.93,21016.0,1610,0.0
2025-03-15 14:00:00+00:00,84473.33,84473.33,84116.49,84154.5,21039.0,1610,0.0
2025-03-15 15:00:00+00:00,84155.06,84434.16,84154.12,84363.94,20807.0,1610,0.0
2025-03-15 16:00:00+00:00,84363.82,84517.08,84200.47,84380.75,20897.0,1610,0.0
2025-03-15 17:00:00+00:00,84380.03,84523.77,84278.2,84431.01,20824.0,1610,0.0
2025-03-15 18:00:00+00:00,84431.5,84496.83,84137.88,84233.37,20359.0,2016,0.0
2025-03-15 19:00:00+00:00,84233.85,84344.19,84098.15,84314.64,19240.0,2016,0.0
2025-03-15 20:00:00+00:00,84313.82,84452.66,84301.58,84399.3,21477.0,2016,0.0
